"name","sku","category","image_url","page_url"
"Arrowhead Corner Plate Flat Antique Iron 120 x 120mm","70.075.AI.120","Category: Chest Corners","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/70.075.AI_.120-Arrowhead-Corner-Plate-Flat-120mm.jpg","https://www.adfixtrade.co.uk/products/brackets/arrowhead-corner-plate-flat-antique-iron-120-x-120mm/"
"Arrowhead Corner Plate Flat Rust 120 x 120mm","70.075.RU.120","Chest Corners, Chest Corners","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.075.RU_.120-Rust-Finish-Arrowhead-Corner-Plate-120mm.jpg","https://www.adfixtrade.co.uk/products/cabinet-hardware/chest-corners/arrowhead-corner-plate-flat-rust-120-x-120mm/"
"Arrowhead Corner Strap Antique Iron 70mm x 70m 03.073A.AI.65","70.073A.AI.65","Category: Chest Corners","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.073A.AI_.65-Arrowhead-Corner-Strap-Antique-Iron-70mm-x-70m.jpg","https://www.adfixtrade.co.uk/products/brackets/arrowhead-corner-strap-antique-iron-70mm-x-70m-03-073a-ai-65/"
"Arrowhead Corner Strap Antique Iron 95 x 95mm","70.073A.AI.95","Chest Corners, Chest Corners","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.073A.AI_.95-Arrowhead-Corner-Strap-Ant-Iron-95mm.jpg","https://www.adfixtrade.co.uk/products/cabinet-hardware/chest-corners/arrowhead-corner-strap-antique-iron-95-x-95mm/"
"Arrowhead Corner Strap Matt Black 30 x 65 x 65mm","03.073A.MB.65","Chest Corners, Chest Corners","","https://www.adfixtrade.co.uk/products/cabinet-hardware/chest-corners/arrowhead-corner-strap-matt-black-30-x-65-x-65mm/"
"Arrowhead Corner Strap Satin Epoxy Black 95 x 95mmTBD","70.073A.SEB.95","Chest Corners, Chest Corners","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.073A.SEB_.95-Arrowhead-Corner-Strap-Satin-Epoxy-Black-95-x-95mm.jpg","https://www.adfixtrade.co.uk/products/cabinet-hardware/chest-corners/arrowhead-corner-strap-satin-epoxy-black-95-x-95mmtbd/"
"Arrowhead Hinge Antique Iron 80mm","49.320B.AI.80","Hinges, Hinges","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/70.320B.AI_.080-Arrowhead-Hinge-Antique-Iron.jpg","https://www.adfixtrade.co.uk/products/cabinet-hardware/hinges-cabinet-hardware/arrowhead-hinge-antique-iron-80mm/"
"Arrowhead Hinge Antique Iron 80mm (AF037)","70.320B.AI.080","Hinges, Hinges","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/70.320B.AI_.080-Arrowhead-Hinge-Antique-Iron.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/hinges-furniture-fittings-architectural-ironmongery/arrowhead-hinge-antique-iron-80mm-af037/"
"Arrowhead Hinge Epoxy Black 80mm (AF037)TBD","49.320B.SEB.80","Hinges, Hinges","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/49.320B.SEB_.80-Hinge-ARROWHEAD-Black-Epoxy-80mm.jpg","https://www.adfixtrade.co.uk/products/cabinet-hardware/hinges-cabinet-hardware/arrowhead-hinge-epoxy-black-80mm-af037tbd/"
"Arrowhead Hinge Oil Black 225 x 30mm (Cranberry) TBD","70.320D.OB.225","Hinges, Hinges","","https://www.adfixtrade.co.uk/products/cabinet-hardware/hinges-cabinet-hardware/arrowhead-hinge-oil-black-225-x-30mm-cranberry-tbd/"
"Arrowhead Hinge Rust 80mm (AF037)","70.320B.RU.080","Hinges, Hinges","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.320B.RU_.080-Arrowhead-hinge-Rust-80mm.jpg","https://www.adfixtrade.co.uk/products/cabinet-hardware/hinges-cabinet-hardware/arrowhead-hinge-rust-80mm-af037/"
"Arrowhead Hinge Rust 80mm (AF037R)","49.320B.RU.80","Hinges, Hinges","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.320B.RU_.080-Arrowhead-hinge-Rust-80mm.jpg","https://www.adfixtrade.co.uk/products/cabinet-hardware/hinges-cabinet-hardware/arrowhead-hinge-rust-80mm-af037r/"
"Ball Knob & Stem EASTBURN style Ant Iron 25mm / 1″","70.086J.AI.32","Cabinet Knobs, Door Knobs, Industrial, Knobs","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/70.086J.AI_.32-Ball-Knob-Stem-Polished-Iron-32mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/ball-knob-stem-eastburn-style-ant-iron-32mm-1-25/"
"Ball Knob & Stem EASTBURN style Ant Iron 32mm / 1.25″","A149","Cabinet Knobs, Door Knobs, Victorian","","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/ball-knob-stem-eastburn-style-ant-iron-32mm-1-25-2/"
"Bar Handle Antique Iron KETTLEWELL 150mm","A130","Pull Handles, Pull Handles","https://www.adfixtrade.co.uk/wp-content/uploads/2020/10/A130-Bar-Handle-KETTLEWELL-Cast-Antique-Iron-150mm.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/pull-handles-furniture-fittings-architectural-ironmongery/bar-handle-antique-iron-kettlewell-150mm/"
"Bar Handle Antique Iron KETTLEWELL 180mm","A129","Pull Handles, Pull Handles","https://www.adfixtrade.co.uk/wp-content/uploads/2020/10/A129-Bar-Handle-KETTLEWELL-Cast-Antique-Iron-180mm.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/pull-handles-furniture-fittings-architectural-ironmongery/bar-handle-antique-iron-kettlewell-180mm/"
"Bed Box Castor Fixed 30mm Black Wheel","35.461A.BL.30","Bed Brackets, Furniture Fittings","","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/bed-brackets/bed-box-castor-30mm-black/"
"Bed Bracket / Construction Countersunk Holes 6″ / 150mm","70.252B.ZYP.150","Bed Brackets, Furniture Fittings","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.252B.ZYP_.150-Bed-Bracket-Large-150mm.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/bed-brackets/bed-constructional-bracket-countersunk-holes-6-150mm/"
"Bed Bracket / Constructional Countersunk Holes 5″ / 125mm","70.252B.ZYP.125","Bed Brackets, Furniture Fittings","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.252B.ZYP_.125-Bed-Constructional-Bracket-Countersunk-Holes-5-125mm.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/bed-brackets/bed-constructional-bracket-countersunk-holes-5-125mm/"
"Bed Bracket Bed-Loc 2 Hole Plate only BL93 3.5″ / 90mm","25.252.ZP.093A","Bed Brackets, Furniture Fittings","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/25.252.ZP_.093A-Bed-Loc-Bracket-3.5-Inch.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/bed-brackets/bed-loc-bracket-2-hole-plate-only-bl93-3-5-90mm/"
"Bed Bracket System Bed-Loc  2 Hole BL92 3.5″ / 90mm","25.252.ZP.092","Bed Brackets, Furniture Fittings","","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/bed-brackets/bed-loc-bracket-system-2-hole-bl92-3-5-90mm/"
"Bed Bracket System Bed-Loc Complete Set BL122 5″ / 125mm","25.252.ZP.125","Bed Brackets, Furniture Fittings","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/00.252.ZP_.125-Bed-Loc-Bracket-Demo-Model.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/bed-brackets/bed-loc-bracket-system-complete-set-bl122-5-125mm/"
"Bed Bracket System Complete BL122 5″ / 125mm","00.252.ZP.125","Bed Brackets, Furniture Fittings","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/00.252.ZP_.125-Bed-Loc-Bracket-Demo-Model-1.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/bed-brackets/bed-loc-bracket-system-complete-bl122-5-125mm/"
"Bed Bracket System Easy Fit 2 Part 80mm (1 bracket)","70.252E.ZP.80","Bed Brackets, Furniture Fittings","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.252E.ZP_.80-Bed-Bracket-Easy-Fix.jpg","https://www.adfixtrade.co.uk/products/furniture-fittings/bed-bracket-system-easy-fit-2-part-80mm-1-bracket/"
"Bookcase Strip Recessed FB 1.83m x 16mm x 6mm","20.382.FB.20","Furniture Fittings, Workshop Consumables","https://www.adfixtrade.co.uk/wp-content/uploads/2020/06/Bookcase-Strip-Recessed-FB.jpg","https://www.adfixtrade.co.uk/products/workshop-consumables/bookcase-strip-recessed-fb-1-83m-x-16mm-x-6mm/"
"Bookcase Stud for Recessed Strip FB 16mm","20.375B.FB.16","Furniture Fittings, Workshop Consumables","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/20.375B.FB_.16-Recessed-bookcase-stud-FB.jpg","https://www.adfixtrade.co.uk/products/workshop-consumables/bookcase-stud-for-recessed-strip-fb-16mm/"
"Bow Handle Cast Antique Iron Penny End 4″ (AF036)","70.082.AI.080","Pull Handles, Shaker","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.082.AI_.080-Bow-Handle-Ant-Iron-80mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/shaker/bow-handle-cast-antique-iron-penny-end-4-af036/"
"Bow Handle Cast Antique Iron Penny End 5″ (AF035)","70.082.AI.120","Pull Handles, Shaker","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.082.AI_.120-Bow-Handle-Ant-Iron-125mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/shaker/bow-handle-cast-antique-iron-penny-end-5-af035/"
"Bow Handle Cast Iron Rust 4″ / 100mm (AF036)","70.082.RU.080","Pull Handles, Pull Handles","","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/pull-handles-furniture-fittings-architectural-ironmongery/bow-handle-cast-iron-rust-4-af036/"
"Bow Handle Cast Iron Rust 5″ (AF035)","70.082.RU.120","Pull Handles, Pull Handles","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/70.082.RU_.120-Bow-Handle-Cast-Iron-Rust-5-AF035.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/pull-handles-furniture-fittings-architectural-ironmongery/bow-handle-cast-iron-rust-5-af035/"
"Bow Handle Cast Iron Satin Epoxy Black 5″ (AF035)","70.082.SEB.120","Category: Pull Handles","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.082.SEB_.120-Bow-Handle-Satin-Epoxy-Black-120mm.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/pull-handles-furniture-fittings-architectural-ironmongery/bow-handle-cast-iron-satin-epoxy-black-5-af035/"
"Bow Handle Chrome on Cast Iron 5″ (AF035CH)","70.082.CHC.120","Pull Handles, Pull Handles","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/70.082.CHC_.120-Bow-Handle-Chrome-120mm.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/pull-handles-furniture-fittings-architectural-ironmongery/bow-handle-chrome-on-cast-iron-5-af035ch/"
"Bow Handle Penny End Cast Antique Copper 4″ / 100mm","70.082.AC.85","Pull Handles, Pull Handles, Shaker","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.082.AC_.85-Bow-Handle-Penny-End-Antique-Copper-4-100mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/shaker/bow-handle-penny-end-cast-antique-copper-4-100mm/"
"Bow Handle Penny End Cast Antique Copper 5″ / 120mm","70.082.AC.120","Pull Handles, Pull Handles, Shaker","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.082.AC_.120-Bow-Handle-Cast-Antique-Copper-Penny-End-5-120mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/shaker/bow-handle-penny-end-cast-antique-copper-5-120mm/"
"Bow Handle Penny End Cast Antique Iron 7″ (AF034)","30.082.AI.180","Pull Handles, Shaker","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/30.082.AI_.180-Bow-Handle-Ant-Iron-Round-End-180mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/shaker/bow-handle-penny-end-cast-antique-iron-7-af034/"
"Bow Handle Penny End Solid Brass 5″ / 120mm","70.082.PB.120","Pull Handles, Shaker","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/70.082.PB_.120-Bow-Handle-Penny-End-Solid-Brass-120mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/shaker/bow-handle-penny-end-solid-brass-5-120mm/"
"Bow Handle SPADE Design Ant Iron Rear Thread 130mm / 5.25″","70.082S.AI.130","Pull Handles, Pull Handles","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.082S.AI_.130-Bow-Handle-Spade-End-130mm.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/pull-handles-furniture-fittings-architectural-ironmongery/bow-handle-spade-design-ant-iron-rear-thread-130mm-5-25/"
"Butchers Block Corner Ant Steel 1.25″ High x 2″ x 3″ (1.5mm)","70.073.AI.32","Category: Chest Corners","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.073.AI_.32-Butchers-Block-Corner-Ant-Steel-1.25-H-x-2-x-3-1.5mm.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/chest-corners-furniture-fittings-architectural-ironmongery/butchers-block-corner-ant-steel-1-25-high-x-2-x-3-1-5mm/"
"Butchers Block Corner Ant Steel 1.25″ High x 2″ x 3″ (1.5mm)","70.073H.AI.32","Chest Corners, Chest Corners","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.073H.AI_.32-Butchers-Block-Corner-Ant-Steel-1.25-H-x-2-x-3-1.5mm.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/chest-corners-furniture-fittings-architectural-ironmongery/butchers-block-corner-ant-steel-1-25-high-x-2-x-3-3mm/"
"Butchers Block Corner Ant Steel 1.75″ High x 2″ x 3″ (1.5mm)","70.073.AI.45","Chest Corners, Chest Corners","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/70.073.AI_.45-Butchers-Corner-45H-x-50-x-75mm.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/chest-corners-furniture-fittings-architectural-ironmongery/butchers-block-corner-ant-steel-1-75-high-x-2-x-3-1-5mm/"
"Butchers Block Corner Ant Steel 100mm High x 100×100 (1.5mm)","70.073A.AI.100","Chest Corners, Chest Corners","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/70.073A.AI_.100-Butchers-Block-Corner-large.jpg","https://www.adfixtrade.co.uk/products/cabinet-hardware/chest-corners/butchers-block-corner-ant-iron-100mm-high-x-100-x100-2-5mm/"
"Butchers Block Corner Ant Steel 50mm High x 100×100 (1.5mm)","70.073A.AI.50","Category: Chest Corners","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.073A.AI_.50-Butchers-Block-Corner-Strap-Ant-Iron-50-x100-x-2.5mm.jpg","https://www.adfixtrade.co.uk/products/brackets/butchers-block-corner-ant-iron-50mm-high-x100-x-100-2-5mm/"
"Butchers Block Corner Ant Steel 75mm High x 100×100 (1.5mm)","70.073A.AI.75","Chest Corners, Chest Corners","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/70.073A.AI_.75-Butchers-Block-Corner-Strap-Ant-Iron-75-x-75-x-2.5mm.jpg","https://www.adfixtrade.co.uk/products/cabinet-hardware/chest-corners/butchers-block-corner-ant-iron-75mm-high-x-100-x-100-2-5mm/"
"Butchers Block Corner Ant Steel 75mm High x 250×100 (1.5mm)","70.073A.AI.250","Chest Corners, Chest Corners","https://www.adfixtrade.co.uk/wp-content/uploads/2022/05/70.073A.AI_.250-Butchers-Block-Corner-Ant-Steel-75mm-High-x-250-x100-1.5mm.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/chest-corners-furniture-fittings-architectural-ironmongery/butchers-block-corner-ant-steel-75mm-high-x-250x100-1-5mm/"
"Butchers Block Corner Heavy Ant Iron 2.0″ High x 4″ x 14″TBD","70.073B.AI.351","Chest Corners, Chest Corners","","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/chest-corners-furniture-fittings-architectural-ironmongery/butchers-block-corner-heavy-ant-iron-2-0-high-x-4-x-14tbd/"
"Butchers Block Corner Heavy Ant Iron 2.5″ x 4″ x 14″ –  TBD","70.073B.AI.350","Chest Corners, Chest Corners","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/70.073B.AI_.350-Heavy-Butchers-Corner-Shaped-Ends-60-x-100-x-350mm.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/chest-corners-furniture-fittings-architectural-ironmongery/butchers-block-corner-heavy-ant-iron-2-5-high-x-4-x-14/"
"Butt Hinge (tight) Cast Iron Heavy 5 Knuckle 50mm / 2″ – TBD","09.301A.CA.50","Hinges, Hinges","","https://www.adfixtrade.co.uk/products/cabinet-hardware/hinges-cabinet-hardware/butt-hinge-tight-cast-iron-heavy-5-knuckle-50mm-2-0/"
"Butt Hinge Cast Iron 5 Knuckle Heavy 50mm / 2..0″","70.301A.AI.50","Hinges, Hinges","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/70.301A.AI_.50-Cast-Butt-Hinge-Iron-Heavy-50mm-2..0.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/hinges-furniture-fittings-architectural-ironmongery/butt-hinge-cast-iron-heavy-50mm-2-0/"
