"name","sku","category","image_url","page_url"
"Air Brick / Trivet Cast Antique Iron 8.25″ x 4.25″","49.690.AI.229","Air Bricks, Vents & Trivets, Air Vents, Architectural Ironmongery, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/49.690.AI_.229-Air-Brick-Cast-Iron-108-x-209mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/air-brick-trivet-cast-antique-iron-8-25-x-4-25/"
"Air Brick / Trivet Cast Antique Iron Double 9″ x 6″","49.690.AI.231","Air Vents, Architectural Ironmongery","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/49.690.AI_.231-Air-Brick-Double.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/exterior-utilities/air-vents/air-brick-trivet-cast-antique-iron-double-9-x-6/"
"Air Brick / Trivet Cast Antique Iron Single 9″ x 3″","49.690.AI.230","Air Bricks, Vents & Trivets, Air Vents, Architectural Ironmongery, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/49.690.AI_.230-Air-Brick-Single-250mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/air-brick-trivet-cast-antique-iron-single-9-x-3/"
"Air Brick / Trivet Cast Antique Iron Triple 9″ x 9″","49.690.AI.232","Air Vents, Architectural Ironmongery","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/49.690.AI_.232-Air-Brick-Trivet-Cast-Antique-Iron-Triple-9-x-9.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/exterior-utilities/air-vents/air-brick-trivet-cast-antique-iron-triple-9-x-9/"
"Air Brick / Trivet Metric Size Cast Antique Iron 65 x 215mm","49.691.AI.215","Air Bricks, Vents & Trivets, Air Vents, Architectural Ironmongery, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/49.691.AI_.215-Air-Brick-Trivet-Metric-Size-Cast-Antique-Iron-65-x-215mm-1.jpg","https://www.adfixtrade.co.uk/products/architectural-hardware/air-bricks-vents-trivets/air-brick-trivet-metric-size-cast-antique-iron-65-x-215mm/"
"Air Brick Cover Cast Iron Single 120mm x 270mm (Mark Alsop)","01.689.AI.230","Air Bricks, Vents & Trivets, Air Vents, Architectural Ironmongery, Industrial","","https://www.adfixtrade.co.uk/products/architectural-hardware/air-bricks-vents-trivets/air-brick-cover-cast-iron-single-120mm-x-270mm-mark-alsop/"
"Air Brick Double 1883 Cast Ant Iron 9.25″ x 6.25″","01.690A.AI.231","Air Bricks, Vents & Trivets, Air Vents, Architectural Ironmongery, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/01.690A.AI_.231-Air-Brick-1883-Large.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/air-brick-double-1883-cast-ant-iron-9-25-x-6-25/"
"Air Brick Double Cast Iron Satin Black 9″ x 6″ x 2″","49.690.SEB.231","Air Bricks, Vents & Trivets, Air Vents, Architectural Ironmongery, Industrial","","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/air-brick-double-cast-iron-satin-black-9-x-6-x-2/"
"Air Brick Single 1883 Cast Ant Iron 9″ x 3″ x 2″","01.690A.AI.230","Air Bricks, Vents & Trivets, Air Vents, Architectural Ironmongery, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.690A.AI_.230-Air-Brick-Trivet-1883-Cast-Ant-Iron-9-x-3-x-2.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/air-brick-single-1883-cast-ant-iron-9-x-3-x-2/"
"Air Brick Single Cast Iron Satin Black 9″ x 3″ x 2″","49.690.SEB.230","Air Vents, Architectural Ironmongery","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/49.690.SEB_.230-Air-Brick-Single-Cast-Iron-Satin-Black-9-x-3-x-2.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/exterior-utilities/air-vents/air-brick-single-cast-iron-satin-black-9-x-3-x-2/"
