"name","title","company_name"
"Sarah Melville","Media Director at YouGov Sport","YouGov Sport"
"Charmagne Cruz","Head of Reporting & Analytics, Business Technologies and Pricing at Shopee Philippines Inc.","Shopee"
"George Koutsoudopoulos","CEO at tgndata","tgndata"
"Yorgos Panzaris","CTO at Convert Group","Convert Group"
"Cheddi Rai","CEO at AdRetreaver","AdRetreaver"
"David Barros","Data Scientist at Worten","Worten"
"David PatiÃ±o Montoya","Data Engineer at Shopee Colombia","Shopee Colombia"
"Tariq Al Hosani","CEO at Zero Gravity Solutions","Zero Gravity Solutions"
"Francisc Czobor","Product owner at Cars2click","Cars2click"
"Andrei Yaromenko","SEO Tech Lead","SEO Tech Lead"
"Clint Ruch","Senior Vice President of Engineering at Key Holdings","Key Holdings"
"Poompatai Puntitpong","Software Engineer at Manatal","Manatal"
"Sergii Klius","Co-Founder at DataOx","DataOx"
"Poompatai Puntitpong","Software Engineer at Manatal","Manatal"
"Sergii Klius","Co-Founder at DataOx","DataOx"
"Edward Nguyen","Senior Data Scientist at Shopee Vietnam","Shopee Vietnam"
"Mattan Benyamini","Data Analyst Team Lead at Windward","Windward"
"David Wang","Senior Data Engineer at Reejig","Reejig"
"Eduarda Ballester Dias","Head of Finance at Axur","Axur"
"Irwan Djoehana","Founder at Retail Shake","Retail Shake"
"Shraddha Bhattad","Software Development Engineer II at CommerceIQ","CommerceIQ"
"Rick McGraw","CEO at Black Oak Analytics",""
"Elodie Read","Program Lead at The Climate Subak","The Climate Subak"
"Ben Nelmes","Co-founder & Head of Policy at New Automotive","New Automotive"
"David AmÃ©zquita","Product Manager at Container xChange","Container xChange"
"Riccardo Fuzzi","CEO & Founder at MyAppFree","MyAppFree"
"Diego Meneses","Executive Director, Colombia at Automation Empire","Automation Empire"
"Lenilson Porath","CTO at Effecti","Effecti"
"Misaki Sugawara","CEO/CTO at butinuki Co., Ltd.","butinuki Co."
"Thomas Dillon","Legal Counsellor, WIPO","WIPO"
"Vivek Amilkanthawar","CTO at HRog","HRog"
"Dori Stein","CEO at Fornova","Fornova"
"Nevo David","CEO at Linvo","Linvo"
"Fan Jin","Founder and Software Developer at Shengsoft Technologies","Shengsoft Technologies"
"Mark O’Hara","Founder at THRIFT","THRIFT"
"Todd Wilson","President at screen-scraper","screen-scraper"
"Edan Krolewicz","Founder at ExactBuyer","ExactBuyer"
"Aaron Cowper","Founder, CEO at ShopGrok","ShopGrok"
"Tim Lam","National Technology Director at Canopy, Advantage Solutions","Canopy"
"Andries Mooij","CTO at Superscanner","Superscanner"
"Jan ÄŒurn","CEO at Apify","Apify"
"Juan Galdeano","CTO at Red Points","Red Points"
"Keith Amirault","Manager at Cervello, an A.T Kearney Company","Cervello"
"Amir Mendelson","Founder of PowerDrop","PowerDrop"
"Ludek Skaroupka","Scrum Master at Dataweps","Dataweps"
"Glenn Miseroy","Founder and CTO at LeadExpress","LeadExpress"
"Edison Xhaqkaj","CTO at Cikisi","Cikisi"
"Evyatar Korlanski","Product manager at JDC Tevet","JDC Tevet"
"Marina Darlow","Project Lead, Sprint COVID-19",""
"Neal Barsch","Founder, tenfourWest","tenfourWest"
"Brian Chen","Co-founder of GrocerCheck","GrocerCheck"
