"name","title","company_name"
"Yael Fridman","Marketing Director at Keter","Keter"
"Jonathan Lo","Director of Customer Strategy & Insights at Overstock","Overstock"
"Dave Walsh","Co-founder and CEO of Mathison","Mathison"
"Roman Hussy","Founder of Abuse.ch","Abuse.ch"
"Ronen Yuval-Hoch","Co-Founder & COO at Karma (formerly Shoptagr)","Karma (formerly Shoptagr)"
"Surovyi Viacheslav","Co-founder and CEO of ZenMarket Inc.","ZenMarket Inc."
"Rich Klina","Minimum Advertised Pricing Director/ Front-end Manager at Avalanche Industries","Avalanche Industries"
"Peter Clerborn","Peter Clerborn, Founding Partner at Detail Online","Detail Online"
"Greg Urquhart & Jordan Dick","Greg Urquhart, CTO, & Jordan Dick, Director of Engineering at e.fundamentals","e.fundamentals"
"Donát Borsódi","Founder and CEO at GreyMatter Ltd.","GreyMatter Ltd."
"Hrishabh Sanghvi","Co-founder and CTO at Railofy","Railofy"
"Carl Hendy","Co-owner of Reddico","Reddico"
"Pavel Vlasov","CTO & Co-founder of AppFollow","AppFollow"
"Le Dinh Tuan","CEO at Faber Vietnam","Faber Vietnam"
"Alessio Cantoro","CMO at Immobiliare.it","Immobiliare.it"
"David Newell","Founder of FindAShot.org","FindAShot.org"
"Tejpal Virdi","Founder and CEO at Sideman","Sideman"
"Tom Hogans","CTO at RealArb","RealArb"
"Andrew Sudbury","CTO and Co-founder of Abine Inc.","Abine Inc."
"Norbert Kardos","Founder and CTO at Post for Rent","Post for Rent"
