"latitude","longitude","locator_domain","store_no","location_name","street_address","street_no","city","state","zipcode","phone_no","page_url"
"41.041046","-111.941947","https://acburger.com/","102","Kaysville","328 N Main St","328","Kaysville","UT","84037","801-546-0001","https://acburger.com/menu/"
"40.586735","-111.957961","https://acburger.com/","103","West Jordan - Jordan View","9046 S 2700 W","9046","West Jordan","UT","84088","801-255-5286","https://acburger.com/menu/"
"40.122754","-111.653705","https://acburger.com/","104","Spanish Fork","23 E 1000 N","23","Spanish Fork","UT","84660","801-798-5471","https://acburger.com/menu/"
"37.123103","-113.615976","https://acburger.com/","105","St. George - Sunset","1522 W Sunset Blvd","1522","St. George","UT","84738","385-910-3960","https://acburger.com/menu/"
"40.867668","-111.878243","https://acburger.com/","106","Bountiful - Orchard Drive","2071 S Orchard Dr","2071","Bountiful","UT","84010","801-292-3561","https://acburger.com/menu/"
"40.429597","-111.785883","https://acburger.com/","107","Highland","10831 N Alpine Hwy","10831","Highland","UT","84003","801-756-5392","https://acburger.com/menu/"
"40.387873","-111.840482","https://acburger.com/","108","Lehi","570 E Main St","570","Lehi","UT","84043","801-768-4679","https://acburger.com/menu/"
"40.351808","-111.731315","https://acburger.com/","109","Lindon","770 N State St","770","Lindon","UT","84042","801-785-5262","https://acburger.com/menu/"
"40.733746","-111.875977","https://acburger.com/","110","Salt Lake - 17th South","525 E 1700 S","525","Salt Lake City","UT","84105","801-484-8111","https://acburger.com/menu/"
"40.609046","-111.970041","https://acburger.com/","111","West Jordan - 7800 South","3365 W 7800 S","3365","West Jordan","UT","84088","801-280-0835","https://acburger.com/menu/"
"40.639552","-112.005860","https://acburger.com/","112","Kearns - Cougar Place","6146 S Cougar Ln","6146","Kearns","UT","84118","801-963-4126","https://acburger.com/menu/"
"40.696212","-112.090220","https://acburger.com/","114","Magna","8339 W 3500 S","8339","Magna","UT","84044","801-250-6891","https://acburger.com/menu/"
"40.523270","-111.928779","https://acburger.com/","115","Riverton","12555 S 1300 W","12555","Riverton","UT","84065","801-253-1655","https://acburger.com/menu/"
"40.526283","-111.885465","https://acburger.com/","116","Draper","208 E 12300 S","208","Draper","UT","84020","801-571-4073","https://acburger.com/menu/"
"41.716959","-111.835397","https://acburger.com/","117","Logan","930 S Highway 89","930","Logan","UT","84321","435-752-8461","https://acburger.com/menu/"
"40.667916","-111.956960","https://acburger.com/","118","Taylorsville - Westwood","2650 W 4700 S","2650","Taylorsville","UT","84118","801-967-3116","https://acburger.com/menu/"
"41.161831","-112.066083","https://acburger.com/","119","Roy","3552 W 5600 S","3552","Roy","UT","84067","801-985-0309","https://acburger.com/menu/"
"40.674788","-112.024557","https://acburger.com/","120","Herriman","13162 S 5600 W","13162","Herriman","UT","84096","801-302-8652","https://acburger.com/menu/"
"40.665318","-111.939294","https://acburger.com/","121","Taylorsville - Redwood","4796 S Redwood Rd","4796","Taylorsville","UT","84123","801-969-2762","https://acburger.com/menu/"
"40.385162","-111.915678","https://acburger.com/","123","Saratoga Springs","1266 N Redwood Rd","1266","Saratoga Springs","UT","84045","801-766-9636","https://acburger.com/menu/"
"40.905000","-111.879388","https://acburger.com/","124","Bountiful - Pages Lane","1493 N Main St","1493","Bountiful","UT","84010","801-296-0266","https://acburger.com/menu/"
"43.964149","-111.681415","https://acburger.com/","125","St. Anthony","226 S Bridge St","226","St. Anthony","ID","83445","208-624-0162","https://acburger.com/menu/"
"40.593234","-112.023638","https://acburger.com/","127","West Jordan - Copper Hills","8677 S 5600 W","8677","West Jordan","UT","84088","801-260-7022","https://acburger.com/menu/"
"41.088703","-112.047554","https://acburger.com/","128","Syracuse","1093 W 1700 S","1093","Syracuse","UT","84075","801-776-7047","https://acburger.com/menu/"
"41.757784","-111.820755","https://acburger.com/","129","North Logan","545 E 1400 N #100","545","Logan","UT","84321","435-787-6315","https://acburger.com/menu/"
"41.075540","-111.950706","https://acburger.com/","130","Layton","1075 N Fairfield Rd","1075","Layton","UT","84041","801-547-8773","https://acburger.com/menu/"
"41.526507","-109.462150","https://acburger.com/","132","Green River","445 E Flaming Gorge Way","445","Green River","WY","82935","307-875-4582","https://acburger.com/menu/"
"41.257349","-111.969958","https://acburger.com/","135","Ogden - Washington","325 Washington Blvd","325","Ogden","UT","84404","801-392-4709","https://acburger.com/menu/"
"41.166419","-111.957910","https://acburger.com/","136","South Ogden","929 Chambers St","929","South Ogden","UT","84403","801-479-1210","https://acburger.com/menu/"
"43.488672","-116.405489","https://acburger.com/","137","Kuna","710 E Avalon St","710","Kuna","ID","83634","208-922-4200","https://acburger.com/menu/"
"40.306968","-112.017022","https://acburger.com/","138","Eagle Mountain","1398 E Eagle Mountain Blvd","1398","Eagle Mountain","UT","84005","801-803-2294","https://acburger.com/menu/"
"43.490285","-112.051794","https://acburger.com/","139","Idaho Falls - Utah","840 S Utah Ave","840","Idaho Falls","ID","83401","208-522-6611","https://acburger.com/menu/"
"40.499870","-111.957817","https://acburger.com/","140","Bluffdale","13990 S 2700 W","13990","Bluffdale","UT","84065","385-867-4911","https://acburger.com/menu/"
"42.573984","-114.460178","https://acburger.com/","141","Twin Falls - Blue Lakes","680 Blue Lakes Blvd N","680","Twin Falls","ID","83301","208-733-3476","https://acburger.com/menu/"
