"name","miles","price","store_id","store_geocity","stateName","stockNumber","year","company_name","model","trim","page_url"
"2015 Jeep Compass Latitude","77887","19998","6049","Albany","New York","21639432","2015","Jeep","Compass","Latitude","https://www.carmax.com/car/21639432"
"2013 Toyota RAV4 XLE","94179","20998","6049","Albany","New York","21640581","2013","Toyota","RAV4","XLE","https://www.carmax.com/car/21640581"
"2017 Chevrolet Equinox LT","67989","24998","6049","Albany","New York","22768490","2017","Chevrolet","Equinox","LT","https://www.carmax.com/car/22768490"
"2014 Mazda CX-5 Touring","103232","18998","6049","Albany","New York","22583139","2014","Mazda","CX-5","Touring","https://www.carmax.com/car/22583139"
"2015 Subaru Forester 2.5I","99832","17998","6049","Albany","New York","22480050","2015","Subaru","Forester","2.5I","https://www.carmax.com/car/22480050"
"2019 Jeep Compass Latitude","90126","22998","6049","Albany","New York","22836749","2019","Jeep","Compass","Latitude","https://www.carmax.com/car/22836749"
"2019 Nissan Rogue S","101229","20998","6049","Albany","New York","22836191","2019","Nissan","Rogue","S","https://www.carmax.com/car/22836191"
"2019 Acura RDX","35616","38998","6049","Albany","New York","22426628","2019","Acura","RDX","","https://www.carmax.com/car/22426628"
"2016 Mazda CX-5 Sport","79626","20998","6059","Buffalo","New York","22841133","2016","Mazda","CX-5","Sport","https://www.carmax.com/car/22841133"
"2012 Honda CR-V EX","87412","18998","6059","Buffalo","New York","22713604","2012","Honda","CR-V","EX","https://www.carmax.com/car/22713604"
"2019 Chevrolet Equinox LT","49559","24998","6059","Buffalo","New York","22714029","2019","Chevrolet","Equinox","LT","https://www.carmax.com/car/22714029"
"2015 Honda CR-V LX","97596","19998","6059","Buffalo","New York","22714190","2015","Honda","CR-V","LX","https://www.carmax.com/car/22714190"
"2015 Mazda CX-5 Touring","109639","18998","6059","Buffalo","New York","22714602","2015","Mazda","CX-5","Touring","https://www.carmax.com/car/22714602"
"2019 Chevrolet Equinox LS","28764","26998","6059","Buffalo","New York","22841499","2019","Chevrolet","Equinox","LS","https://www.carmax.com/car/22841499"
"2020 Jeep Renegade Latitude","37210","25998","6059","Buffalo","New York","22582548","2020","Jeep","Renegade","Latitude","https://www.carmax.com/car/22582548"
"2017 Subaru Forester 2.5I","28312","25998","6059","Buffalo","New York","22841292","2017","Subaru","Forester","2.5I","https://www.carmax.com/car/22841292"
"2019 Mazda CX-5 Touring","36401","29998","6102","","New York","22714549","2019","Mazda","CX-5","Touring","https://www.carmax.com/car/22714549"
"2014 Acura MDX Advance","80723","26998","6102","","New York","22907276","2014","Acura","MDX","Advance","https://www.carmax.com/car/22907276"
"2011 Honda CR-V EX-L","122702","16998","6102","","New York","22920555","2011","Honda","CR-V","EX-L","https://www.carmax.com/car/22920555"
"2015 Nissan Murano SL","57736","26998","6102","","New York","22766367","2015","Nissan","Murano","SL","https://www.carmax.com/car/22766367"
"2020 Toyota Highlander Platinum","32043","47998","6102","","New York","23021807","2020","Toyota","Highlander","Platinum","https://www.carmax.com/car/23021807"
"2014 Honda CR-V EX-L","89397","19998","6102","","New York","22436736","2014","Honda","CR-V","EX-L","https://www.carmax.com/car/22436736"
"2014 Honda CR-V EX-L","98853","19998","6102","","New York","22688720","2014","Honda","CR-V","EX-L","https://www.carmax.com/car/22688720"
"2019 Honda Pilot EX-L","10048","38998","6102","","New York","23221975","2019","Honda","Pilot","EX-L","https://www.carmax.com/car/23221975"
"2011 Toyota RAV4 Sport","96710","18998","6043","Rochester","New York","22583130","2011","Toyota","RAV4","Sport","https://www.carmax.com/car/22583130"
"2020 Kia Sportage LX","8507","28998","6043","Rochester","New York","22841884","2020","Kia","Sportage","LX","https://www.carmax.com/car/22841884"
"2019 Chevrolet Trax LS","49014","21998","6043","Rochester","New York","23240916","2019","Chevrolet","Trax","LS","https://www.carmax.com/car/23240916"
"2018 Jeep Compass Latitude","44261","25998","6043","Rochester","New York","23240811","2018","Jeep","Compass","Latitude","https://www.carmax.com/car/23240811"
"2018 Toyota RAV4 XLE","31761","29998","6043","Rochester","New York","22841622","2018","Toyota","RAV4","XLE","https://www.carmax.com/car/22841622"
