"link","name","addr","num","time"
"https://www.chc1.com/locations/bristol/","Community Health Center of Bristol","395 North Main StreetBristol, CT 06010","860-585-5000Fax: 860-585-5050","['Day Site Hours Quest Hours     Monday 8:30 AM  5:00 PM 9:00 AM  12:00 PM  8:30AM - 12:00PM   Tuesday 8:30 AM  5:00 PM 1:00 PM  5:00 PM   Wednesday 8:30 AM  5:00 PM 9:00 AM  12:00 PM  8:30AM - 12:00PM   Thursday 8:30 AM  5:00 PM 1:00 PM  5:00 PM   Friday 8:30 AM  5:00 PM 9:00 AM  12:00 PM  8:30AM - 12:00PM   Saturday 3rd Saturday of the Month, 8am-12pm Closed']"
"https://www.chc1.com/locations/clinton/","Community Health Center of Clinton","114 East Main StreetClinton, CT 06413","860-664-0787Fax: 860-664-1982","['Day Clinic Hours Quest Hours   Monday 8:00 AM - 5:00 PM Closed   Tuesday 8:00 AM - 5:00 PM 8:00 AM - 12:00 PM  1:00 PM - 4:30 PM   Wednesday 9:00 AM - 6:00 PM Closed   Thursday 8:00 AM - 5:00 PM  8:00 AM - 12:00 PM   Friday 8:00 AM - 5:00 PM Closed   Saturday 1st Saturday  of the month 8AM-12PM Closed']"
"https://www.chc1.com/locations/danbury/","Community Health Center of Danbury","8 Delay StreetDanbury, CT 06810","203-797-8330Fax: 203-798-8410","['Day Clinic Hours Quest Hours   Monday 7:30 AM - 5:00 PM 7:30AM - 4:30PM   Tuesday 7:30 AM - 5:00 PM 7:30AM - 4:30PM   Wednesday 7:30 AM - 5:00 PM 7:30 AM - 4:30 PM   Thursday 7:30 AM - 5:00 PM 7:30AM - 4:30PM   Friday 7:30 AM - 5:00 PM 7:30 AM - 12:00 PM   Saturday 8:30 AM - 12:00 PM 8:30 AM - 12:00 PM']"
"https://www.chc1.com/locations/enfield/","Community Health Center of Enfield: Mary Lou Strom Primary Care Center","5 N Main StreetEnfield, CT 06082","860-253-9024Fax: 860-253-9593","['Day Clinic Hours Quest Hours**   Monday 8:00 AM - 5:00 PM 8:30 AM - 5:00 PM   Tuesday 8:00 AM - 5:00 PM Closed   Wednesday 8:00 AM - 5:00 PM 8:00 AM - 12:00 PM   Thursday 8:00AM- 5:00 PM Closed   Friday 8:00 AM - 5:00 PM 8:30 AM - 5:00 PM   Saturday 2nd Saturday of the month,  8:00 AM - 12:00 PM Closed']"
"https://www.chc1.com/locations/child-guidance-center-greenwich/","Child Guidance Center: Greenwich","81 Holly Hill LaneGreenwich, CT 06830","203-324-6127Fax: ","['Day Office Hours     Monday 8:30 AM - 5:30 PM   Tuesday 8:30 AM - 6:30 PM   Wednesday 3:00 PM - 7:00 PM   Thursday 2:00 PM - 7:00 PM   Friday Closed']"
"https://www.chc1.com/locations/groton/","Community Health Center of Groton","481 Gold Star HwySuite #100Groton, CT 06340","860-446-8858Fax: 860-405-2140","['Day Clinic Hours Quest Hours   Monday 8:00 AM - 7:00 PM 8:00 AM - 12:00 PM   Tuesday 8:00 AM - 5:00 PM Closed   Wednesday 8:00 AM - 5:00 PM Closed   Thursday 8:00 AM - 5:00 PM 8:00 AM - 12:00 PM   Friday 8:00 AM - 5:00 PM Closed   Saturday* 1st Saturday of the month,  8:00 AM - 12:00 PM Closed']"
"https://www.chc1.com/locations/connecticut-pediatrics/","Connecticut Pediatrics @ CHC","76 New Britain AvenueHartford, CT 06106","860-547-0970Fax: 860-547-0980","['Day Clinic Hours Quest Hours   Monday 8:00 AM - 7:00 PM 9:00 AM - 5:00 PM   Tuesday 8:00 AM - 7:00 PM 9:00 AM - 5:00 PM   Wednesday 8:00 AM - 7:00 PM 9:00 AM - 5:00 PM   Thursday 8:00 AM - 7:00 PM 9:00 AM - 5:00 PM   Friday 8:00 AM - 5:00 PM 9:00 AM - 5:00 PM   Saturday 8:00 AM - 4:00 PM 8:00 AM - 12:00 PM']"
"https://www.chc1.com/locations/meriden/","Community Health Center of Meriden","134 State Street Meriden, CT 06450","203-237-2229Fax: 203-686-1677","['Day Clinic Hours Quest Hours   Monday 7:00 AM- 7:00 PM 7:00 AM - 5:00 PM  8:00 AM - 4:30 PM   Tuesday 7:00 AM - 7:00 PM 7:00 AM - 5:00 PM  8:00 AM - 4:30 PM   Wednesday 7:00 AM - 7:00 PM 7:00 AM - 5:00 PM  8:00 AM - 4:30 PM   Thursday 7:00 AM - 7:00 PM 7:00 AM - 5:00 PM  8:00 AM - 4:30 PM   Friday 7:00 AM - 5:00 PM 9:30 AM - 5:00 PM  8:00 AM - 4:30 PM   Saturday 8:00 AM - 4:00 PM 8:00 AM - 12:00 PM']"
"https://www.chc1.com/locations/meriden-dental/","Community Health Center of Meriden: Dental Office","165 Miller StreetMeriden, CT 06450","203-639-3500Fax: 203-686-1677","['Day Clinic Hours   Monday 8:00 AM - 5:00 PM   Tuesday 8:00 AM - 5:00 PM   Wednesday 8:00 AM - 5:00 PM   Thursday 8:00 AM - 5:00 PM   Friday 8:00 AM - 5:00 PM   Saturday Closed']"
"https://www.chc1.com/locations/middletown/","Community Health Center of Middletown","675 Main StreetMiddletown, CT 06457","860-347-6971Fax: 860-343-7379","['Day Site Hours Quest Hours*     Monday 8:00 AM  7:00 PM 8:30 AM  5:00 PM (closed 12-12:30)   Tuesday 8:00 AM  7:00 PM 8:30 AM  5:00 PM(closed 12-12:30)   Wednesday 8:00 AM  7:00 PM 8:30 AM  5:00 PM(closed 12-12:30)   Thursday 8:00 AM  7:00 PM 8:30 AM  5:00 PM(closed 12-12:30)   Friday 8:00 AM  5:00 PM 8:30 AM  5:00 PM(closed 12-12:30)   Saturday 8:00 AM  4:00 PM Closed']"
