"coin_name","coin_symbol","coin_slug","coin_price","coin_volume24h","coin_volume7d","coin_volume30d","coin_marketCap","coin_percentChange1h","coin_percentChange24h","coin_percentChange7d","coin_marketCapByTotalSupply","coin_circulatingSupply","cryptos","exchanges","market_cap","crypto_24h_volume","dominance","eth_Gas","todays_crypto_market_cap","todays_market_increase_or_decrease"
"Bitcoin","BTC","bitcoin","16713.199815644024","22338596713.67782","180878529070.1924","650983383237.0754","321497501641.30206","-0.07379563","-1.7725147","-2.59500452","321497501641.30206","19236143.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Ethereum","ETH","ethereum","1178.750465664113","8574217692.884925","48752242001.67878","272331546508.9522","144248251789.3496","-0.03374292","-2.74534596","-6.87985774","144248251789.3496","122373866.2178","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Tether","USDT","tether","1.0002950376526545","31188633699.42304","186956822677.106","1046646105557.9563","66071708003.25392","0.00670894","0.02305527","0.02444182","73163345896.2807","66052220111.27967","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"USD Coin","USDC","usd-coin","1.000016141260833","2993558582.5157204","27605001066.389874","100573789584.83968","44923386357.57236","0.00240869","0.01145231","-0.00259659","44923386357.57236","44922661249.17982","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"BNB","BNB","bnb","236.6729680370876","1518037019.7746334","11198444126.620361","50262229088.34484","37859931188.5021","0.29229241","-5.24368191","-17.49759774","37862932809.412125","159967281.02285555","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Binance USD","BUSD","binance-usd","1.000273090766761","6337696412.425346","67767587017.22904","229086475751.18488","18446691769.28166","-0.09926747","0.03298942","0.0060981","18446691769.28166","18441655523.43442","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"XRP","XRP","xrp","0.3533776040316568","951797364.1790161","5189619939.362085","28188028257.22746","17790265587.37678","-0.23038414","-3.20038939","-8.85594436","35333938563.59713","50343500506.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Dogecoin","DOGE","dogecoin","0.0774955930343739","750285023.9515707","3868349286.3868027","24166097783.684322","10281399557.743935","0.02863075","-6.28572957","-19.77512766","10281399557.743935","132670764299.89409","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Cardano","ADA","cardano","0.26617170811579727","478555639.5563519","3664160245.760694","15315645267.964972","9178786954.56869","0.11944567","-7.15771238","-14.79824907","9387189494.014425","34484457493.79","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Polygon","MATIC","polygon","0.8092973553579497","439116700.66988647","2292493405.791191","15866517539.35507","7068660033.604818","0.06979017","-4.86032613","-10.66934688","8092973553.579497","8734317475.28493","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
