"title_name","address1","address2","city","region","country","postalCode","competition_corner","price","priceCurrency","organizer","type_description","contact_details","startDate","startMonth","startYear","endDate","endMonth","endYear","page_url"
"SEPT3MBER TO REMEMBER","","","","","","","Competition Corner","10.0","EUR","September to Remember","Virtual Competition for Individuals","","08","09","2022","27","09","2022","https://competitioncorner.net/events/8107/details"
"2022 Dubai CrossFit® Championship Online Qualifier","","","","","","","Competition Corner","25.0","USD","","Virtual Competition for Individuals","","08","09","2022","27","09","2022","https://competitioncorner.net/events/7955/details"
"Iowa Fitness League","Crossfit Ankeny","110 N Ankeny Blvd, Suite 300","Ankeny","IA","United States","50023","Competition Corner","","","Iowa Fitness League","Onsite Competition for Teams","","08","09","2022","01","12","2022","https://competitioncorner.net/events/6429/details"
"Wodsomniac: Valhalla","The Aquatics Academy of Utah","10300 S Redwood Rd","South Jordan","UT","United States","84095","Competition Corner","0.0","USD","CrossFit OUR Events","Onsite Competition for Teams","","09","09","2022","10","09","2022","https://competitioncorner.net/events/7861/details"
"R.E.L Throwdown 2022","","העבודה 10","אריאל","","Israel","gershonrez@gmail.com","Competition Corner","","","R.E.L Throwdown","Onsite Competition for Individuals","gershonrez@gmail.com","09","09","2022","09","09","2022","https://competitioncorner.net/events/7550/details"
"2022 Madrid Championship","CAJA MÁGICA","Cmo. de Perales, 23","Madrid","Madrid","Spain","28041","Competition Corner","","","Madrid Championship 2022","Onsite Competition for Individuals and teams","","09","09","2022","11","09","2022","https://competitioncorner.net/events/6815/details"
"West Coast Throwdown 2022 FINALE","Belambra Les Estagnots","","Seignosse","Landes","France","40510","Competition Corner","","","West Coast Throwdown","Onsite Competition for Teams","","09","09","2022","11","09","2022","https://competitioncorner.net/events/7467/details"
"LRMC Suicide Awareness Charity Fitness Competition","LRMC Troop Command PT Field","","","","Germany","","Competition Corner","","","","Onsite Competition for Teams","","09","09","2022","09","09","2022","https://competitioncorner.net/events/8031/details"
"The UNDERWORLD GAMES  9th edition Teams category qualifier","","","","","","","Competition Corner","0.0","EUR","","Virtual Competition for Teams","","10","09","2022","24","09","2022","https://competitioncorner.net/events/7828/details"
"EmpowHER Mile for More Challenge","","","","","","","Competition Corner","10.0","USD","EmpowHER Events","Virtual Competition for Individuals","","10","09","2022","10","09","2022","https://competitioncorner.net/events/8015/details"
"CFTSV Tropic Thunder TWINS","CrossFit Townsville","10 Parkside Drive","Condon","QLD","Australia","4815","Competition Corner","","","CrossFit Townsville Tropic Thunder Twins","Onsite Competition for Teams","","10","09","2022","10","09","2022","https://competitioncorner.net/events/7567/details"
