"name","company","type","image_url","category","detail","finish","pack"
"Safety Lever on Rose","Eurospec","LRS6000PAA","https://www.carlislebrass.com/media/catalog/product/cache/466d659894fafe1c0d4d7db95c5514ab/l/r/lrs6001.webp","Home, All product, Door handles knobs, lever on rose, Safety Lever on Rose","A sturdy round bar safety lever on a concealed fix press on round rose with the option of a 19mm or 22mm Dia lever. The handle returns back to the door offering reduced risk of catching clothes or injury. DDA Compliant. Certified to British Standards BS EN 1906 and BS8300 designed to meet the needs of disabled people. Comes with a 10 year mechanical guarantee and is fire door rated. Suitable for domestic and commercial use.","Polished Anodised Aluminium","50mm Dia. Rose, 22mm Dia. Lever"
"Safety Lever on Rose","Eurospec","LRS6001PAA","https://www.carlislebrass.com/media/catalog/product/cache/466d659894fafe1c0d4d7db95c5514ab/l/r/lrs6001.webp","Home, All product, Door handles knobs, lever on rose, Safety Lever on Rose","A sturdy round bar safety lever on a concealed fix press on round rose with the option of a 19mm or 22mm Dia lever. The handle returns back to the door offering reduced risk of catching clothes or injury. DDA Compliant. Certified to British Standards BS EN 1906 and BS8300 designed to meet the needs of disabled people. Comes with a 10 year mechanical guarantee and is fire door rated. Suitable for domestic and commercial use.","Polished Anodised Aluminium","50mm Dia. Rose, 19mm Dia. Lever"
"Safety Lever on Rose","Eurospec","LRS4000SAA","https://www.carlislebrass.com/media/catalog/product/cache/466d659894fafe1c0d4d7db95c5514ab/l/r/lrs6001.webp","Home, All product, Door handles knobs, lever on rose, Safety Lever on Rose","A sturdy round bar safety lever on a concealed fix press on round rose with the option of a 19mm or 22mm Dia lever. The handle returns back to the door offering reduced risk of catching clothes or injury. DDA Compliant. Certified to British Standards BS EN 1906 and BS8300 designed to meet the needs of disabled people. Comes with a 10 year mechanical guarantee and is fire door rated. Suitable for domestic and commercial use.","Satin Anodised Aluminium","52mm x 8mm Rose, 22mm Dia. Lever"
"Safety Lever on Rose","Eurospec","LRS4001SAA","https://www.carlislebrass.com/media/catalog/product/cache/466d659894fafe1c0d4d7db95c5514ab/l/r/lrs6001.webp","Home, All product, Door handles knobs, lever on rose, Safety Lever on Rose","A sturdy round bar safety lever on a concealed fix press on round rose with the option of a 19mm or 22mm Dia lever. The handle returns back to the door offering reduced risk of catching clothes or injury. DDA Compliant. Certified to British Standards BS EN 1906 and BS8300 designed to meet the needs of disabled people. Comes with a 10 year mechanical guarantee and is fire door rated. Suitable for domestic and commercial use.","Satin Anodised Aluminium","52mm x 8mm Rose, 19mm Dia. Lever"
"Mitred Round Bar Lever on Sprung Rose","Eurospec","CSL1192SSS","https://www.carlislebrass.com/media/catalog/product/cache/466d659894fafe1c0d4d7db95c5514ab/c/s/csl1192sss_1.webp","Home, All product, Door handles knobs, lever on rose, Mitred Round Bar Lever on Sprung Rose","Lever on concealed fix press on round rose. Straight round bar lever neatly mitred where it adjoins the stem. Part of the Steelworx range in grade 304 Stainless Steel. Comes with a 10 year mechanical guarantee and is Fire Door Rated. Suitable for domestic and commercial use. Download Fitting Instructions","Satin Stainless Steel","Blister Pack"
"Mitred Round Bar Lever on Sprung Rose","Eurospec","CSL1192BSS","https://www.carlislebrass.com/media/catalog/product/cache/466d659894fafe1c0d4d7db95c5514ab/c/s/csl1192sss_1.webp","Home, All product, Door handles knobs, lever on rose, Mitred Round Bar Lever on Sprung Rose","Lever on concealed fix press on round rose. Straight round bar lever neatly mitred where it adjoins the stem. Part of the Steelworx range in grade 304 Stainless Steel. Comes with a 10 year mechanical guarantee and is Fire Door Rated. Suitable for domestic and commercial use. Download Fitting Instructions","Bright Stainless Steel","Boxed"
"Nera Safety Lever on Sprung Rose Grade 304","Eurospec","CSL1190SSS","https://www.carlislebrass.com/media/catalog/product/cache/466d659894fafe1c0d4d7db95c5514ab/c/s/csl1190sss_1.webp","Home, All product, Door handles knobs, lever on rose, Nera Safety Lever on Sprung Rose Grade 304","Safety Lever round bar return to door lever on concealed fix press on round rose. Lever available in 19mm or 22mm Diameter. Ideal for public/office doors where a more ergonomic operation is a necessary requirement. Part of the Steelworx range in grade 304 Stainless Steel. Certified to BS EN 1906 and BS8300 to meet the needs of disabled people. Comes with a 10 year mechanical guarantee and is Fire Door Rated. Suitable for all domestic, commercial and industrial use. Download Fitting Instructions","Satin Stainless Steel","Blister Pack"
"Nera Safety Lever on Sprung Rose Grade 304","Eurospec","CSL1190SSS","https://www.carlislebrass.com/media/catalog/product/cache/466d659894fafe1c0d4d7db95c5514ab/c/s/csl1190sss_1.webp","Home, All product, Door handles knobs, lever on rose, Nera Safety Lever on Sprung Rose Grade 304","Safety Lever round bar return to door lever on concealed fix press on round rose. Lever available in 19mm or 22mm Diameter. Ideal for public/office doors where a more ergonomic operation is a necessary requirement. Part of the Steelworx range in grade 304 Stainless Steel. Certified to BS EN 1906 and BS8300 to meet the needs of disabled people. Comes with a 10 year mechanical guarantee and is Fire Door Rated. Suitable for all domestic, commercial and industrial use. Download Fitting Instructions","Satin Stainless Steel","Boxed"
"Curved Lever on Sprung Rose","Eurospec","CSL1193SSS","https://www.carlislebrass.com/media/catalog/product/cache/466d659894fafe1c0d4d7db95c5514ab/c/s/csl1193sss_1.webp","Home, All product, Door handles knobs, lever on rose, Curved Lever on Sprung Rose","Lever on concealed fix press on round rose. Curved round bar lever (19mm) with a slightly higher than standard arch making it very ergonomic.. Part of the Steelworx range in grade 304 Stainless Steel. Certified to BS EN 1906. Comes with a 10 year mechanical guarantee and is Fire Door Rated. Suitable for domestic and commercial use. Download Fitting Instructions","Satin Stainless Steel","Blister Pack"
"Curved Lever on Sprung Rose","Eurospec","CSL1193BSS","https://www.carlislebrass.com/media/catalog/product/cache/466d659894fafe1c0d4d7db95c5514ab/c/s/csl1193sss_1.webp","Home, All product, Door handles knobs, lever on rose, Curved Lever on Sprung Rose","Lever on concealed fix press on round rose. Curved round bar lever (19mm) with a slightly higher than standard arch making it very ergonomic.. Part of the Steelworx range in grade 304 Stainless Steel. Certified to BS EN 1906. Comes with a 10 year mechanical guarantee and is Fire Door Rated. Suitable for domestic and commercial use. Download Fitting Instructions","Bright Stainless Steel","Boxed"
