"name","sku","page_url","specifications","img_url"
"Magnetic catch","PLS24PRO","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/magnetic-catch","Magnetic catch which removes the need to rebate room dividing double doors, saves 80% of fitting time, with less drill holes needed, has a heavy duty option, suitable for all types of furniture and has universal handing","https://d3oaxe41u6vpgy.cloudfront.net/PLS24PRO.jpg"
"Mortice deadbolt - nickel plated","DH002175","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/mortice-deadbolt-nickel-plated","Mortice deadbolt ideal for bathroom and en-suite doors and for use with thumb turn release systems","https://d3oaxe41u6vpgy.cloudfront.net/DH002175.jpg"
"Hd26 heavy duty tubular latch stainless steel 45mm 2.5","JHD26S-PB/SS-2.5","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/hd26-heavy-duty-tubular-latch-stainless-steel-45mm-2-5","Hd26 heavy duty tubular latch suitable for sprung and light unpsrung lever furniture and knob furniture, features a profiled bevelled latch bolt for smooth and positive engagement, universally handed and supplied with square and radius faceplates","https://d3oaxe41u6vpgy.cloudfront.net/JHD26S%20PB%20SS%202%205.jpg"
"Heavy duty tubular latch","JHD26S-PB/SS-3.0","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/heavy-duty-tubular-latch","Heavy duty tubular latch for doors hinged on the left or right. Latch bolt withdrawn by the lever handle from either side. Both 2.5"" and 3"" cases pierced to accept bolt through furniture. Bolt through fixings allows a more secure, longstanding fixing of do","https://d3oaxe41u6vpgy.cloudfront.net/JHD26S%20PB%20SS%203%200.jpg"
"Tubular latch silver enamel","J2648-SE-3.00","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/tubular-latch-silver-enamel","2648 tubular latch with nylon latch bolt allows for quiet operation, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has a reversible latch bolt.","https://d3oaxe41u6vpgy.cloudfront.net/J2648-SE-3.00.jpg"
"Rebated tubular latch silver enamel 44.5mm","J2650-SE-2.50","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/rebated-tubular-latch-silver-enamel-44-5mm","2650 rebated tubular latch with nylon latch bolt allows for quiet operation, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has a reversible latch bolt.","https://ecat.assaabloy.co.uk/gallery/UNION/Mortice_Locks/Catalogue/2648.jpg"
"Essential tubular latch zinc plate","J2600-ZP-3.0","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/essential-tubular-latch-zinc-plate","Essential tubular latch with durable nylon latch for quieter locking, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has universal handing","https://d3oaxe41u6vpgy.cloudfront.net/J2600-ZP-3.0.jpg"
"Essential tubular latch polished brass","J2600-PL-3.0","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/essential-tubular-latch-polished-brass","Essential tubular latch with durable nylon latch for quieter locking, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has universal handing","https://d3oaxe41u6vpgy.cloudfront.net/J2600-PL-3.0.jpg"
"Essential tubular latch zinc plate 69mm","J2600-ZP-3.5","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/essential-tubular-latch-zinc-plate-69mm","Essential tubular latch with durable nylon latch for quieter locking, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has universal handing","https://d3oaxe41u6vpgy.cloudfront.net/J2600-ZP-3.5.jpg"
"Tubular latch polished brass","J2648-PL-3.00","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/tubular-latch-polished-brass","2648 tubular latch with nylon latch bolt allows for quiet operation, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has a reversible latch bolt.","https://d3oaxe41u6vpgy.cloudfront.net/J2648-PL-3.00.jpg"
"Tubular latch silver enamel 71.5mm","J2648-SE-3.50","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/tubular-latch-silver-enamel-71-5mm","2648 tubular latch with nylon latch bolt allows for quiet operation, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has a reversible latch bolt.","https://d3oaxe41u6vpgy.cloudfront.net/J2648-SE-3.50.jpg"
"Rebated tubular latch silver enamel 57mm","J2650-SE-3.00","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/rebated-tubular-latch-silver-enamel-57mm","2650 rebated tubular latch with nylon latch bolt allows for quiet operation, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has a reversible latch bolt.","https://d3oaxe41u6vpgy.cloudfront.net/J2650%20SE%203%2000.jpg"
