"id","name","category","category1","category2","img_url","description","page_url"
"901972","ERA uPVC/Timber Cockspur Locking Window Handle - 21mm Nose Height - Right Hand - White","Window Furniture & Hardware","Casement Hardware","UPVC Window Handles","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/901972.jpg","<li>Suitable for uPVC, timber and aluminium windows, Locks automatically on closing and simply released by depressing the button, Can be deadlocked for added security, 21mm nose height, Wedges not supplied, 10 year guarantee","https://www.ironmongerydirect.co.uk/product/era-upvctimber-cockspur-locking-window-handle-21mm-nose-height-right-hand-white-901972"
"533096","ERA uPVC/Timber Cockspur Locking Window Handle - 21mm Nose Height - Left Hand - White","Window Furniture & Hardware","Casement Hardware","UPVC Window Handles","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/533096.jpg","<li>Suitable for uPVC, timber and aluminium windows, Locks automatically on closing and simply released by depressing the button, Can be deadlocked for added security, 21mm nose height, Wedges not supplied, 10 year guarantee","https://www.ironmongerydirect.co.uk/product/era-upvctimber-cockspur-locking-window-handle-21mm-nose-height-left-hand-white-533096"
"627571","ERA uPVC/Timber Maxim Inline Espagnolette Locking Multipoint Window Handle - Dual - White","Window Furniture & Hardware","Casement Hardware","UPVC Window Handles","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v222/ironmongery/products/627571.jpg","<li>Suitable for uPVC and timber windows, Locks automatically on closing and simply released by depressing the button, Can be deadlocked for added security, 7 x 40mm spindle to suit standard window espagnolette bolts, Supplied with screws and cover caps, 10 year guarantee","https://www.ironmongerydirect.co.uk/product/era-upvctimber-maxim-inline-espagnolette-locking-multipoint-window-handle-dual-white-627571"
"683095","ERA uPVC/Timber Cockspur Locking Window Handle - 12mm Nose Height - Left Hand - White","Window Furniture & Hardware","Casement Hardware","UPVC Window Handles","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/683095.jpg","<li>Suitable for uPVC, timber and aluminium windows, Locks automatically on closing and simply released by depressing the button, Can be deadlocked for added security, 12mm nose height, Wedges not supplied, 10 year guarantee","https://www.ironmongerydirect.co.uk/product/era-upvctimber-cockspur-locking-window-handle-12mm-nose-height-left-hand-white-683095"
"197177","ERA Fortress BS3621:2007 5 Lever Deadlock - 67mm Case - 44mm Backset - Polished Brass","Locks, Safety & Security","Door Locks, Latches & Security","Mortice Locks & Latches","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/197177.jpg","<li>High security 5 Lever Mortice Deadlock resistant to drilling, hacksawing and picking through steel plates and false notching<li>Conforms to the BS 3621:2007; meets the exacting demands of insurance companies and the Police<li>20mm bolt throw for additional strength and security<li>Designed with hardened steel plates to resist drilling and two hardened steel plates in the deadbolt to resist hacksawing<li>Keys have 1000 variations for added security<li>All steel levers have false notching to resist lock picking","https://www.ironmongerydirect.co.uk/product/era-fortress-bs3621:2007-5-lever-deadlock-67mm-case-44mm-backset-polished-brass-197177"
"148291","ERA Fortress BS3621:2007 5 Lever Deadlock - 67mm Case - 44mm Backset - Polished Chrome","Locks, Safety & Security","Door Locks, Latches & Security","Mortice Locks & Latches","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/148291.jpg","<li>High security 5 Lever Mortice Deadlock resistant to drilling, hacksawing and picking through steel plates and false notching<li>Conforms to the BS 3621:2007; meets the exacting demands of insurance companies and the Police<li>20mm bolt throw for additional strength and security<li>Designed with hardened steel plates to resist drilling and two hardened steel plates in the deadbolt to resist hacksawing<li>Keys have 1000 variations for added security<li>All steel levers have false notching to resist lock picking","https://www.ironmongerydirect.co.uk/product/era-fortress-bs3621:2007-5-lever-deadlock-67mm-case-44mm-backset-polished-chrome-148291"
"976261","ERA Fortress BS3621:2007 5 Lever Sashlock - 79mm Case - 56mm Backset - Satin Chrome","Locks, Safety & Security","Door Locks, Latches & Security","Mortice Locks & Latches","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/976261.jpg","<li>High security 5 Lever Mortice Sashlock resistant to drilling, hacksawing and picking through steel plates and false notching<li>Conforms to the BS 3621:2007; meets the exacting demands of insurance companies and the Police<li>20mm bolt throw for additional strength and security<li>Designed with hardened steel plates to resist drilling and two hardened steel plates in the deadbolt to resist hacksawing<li>Keys have 1000 variations for added security<li>All steel levers have false notching to resist lock picking<li>Easily reversible latch bolt to enable both left and right handed operation","https://www.ironmongerydirect.co.uk/product/era-fortress-bs3621:2007-5-lever-sashlock-79mm-case-56mm-backset-satin-chrome-976261"
"201364","ERA uPVC/Timber Cockspur Locking Window Handle - 12mm Nose Height - Right Hand - White","Window Furniture & Hardware","Casement Hardware","UPVC Window Handles","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/201364.jpg","<li>Suitable for uPVC, timber and aluminium windows, Locks automatically on closing and simply released by depressing the button, Can be deadlocked for added security, 12mm nose height, Wedges not supplied, 10 year guarantee","https://www.ironmongerydirect.co.uk/product/era-upvctimber-cockspur-locking-window-handle-12mm-nose-height-right-hand-white-201364"
"661642","ERA Fortress BS3621:2007 5 Lever Sashlock - 67mm Case - 44mm Backset - Satin Chrome","Locks, Safety & Security","Door Locks, Latches & Security","Mortice Locks & Latches","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/661642.jpg","<li>High security 5 Lever Mortice Sashlock resistant to drilling, hacksawing and picking through steel plates and false notching<li>Conforms to the BS 3621:2007; meets the exacting demands of insurance companies and the Police<li>20mm bolt throw for additional strength and security<li>Designed with hardened steel plates to resist drilling and two hardened steel plates in the deadbolt to resist hacksawing<li>Keys have 1000 variations for added security<li>All steel levers have false notching to resist lock picking<li>Easily reversible latch bolt to enable both left and right handed operation","https://www.ironmongerydirect.co.uk/product/era-fortress-bs3621:2007-5-lever-sashlock-67mm-case-44mm-backset-satin-chrome-661642"
"362532","ERA Fortress BS3621:2007 5 Lever Deadlock - 79mm Case - 56mm Backset - Satin Chrome","Locks, Safety & Security","Door Locks, Latches & Security","Mortice Locks & Latches","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/362532.jpg","<li>High security 5 Lever Mortice Deadlock resistant to drilling, hacksawing and picking through steel plates and false notching<li>Conforms to the BS 3621:2007; meets the exacting demands of insurance companies and the Police<li>20mm bolt throw for additional strength and security<li>Designed with hardened steel plates to resist drilling and two hardened steel plates in the deadbolt to resist hacksawing<li>Keys have 1000 variations for added security<li>All steel levers have false notching to resist lock picking","https://www.ironmongerydirect.co.uk/product/era-fortress-bs3621:2007-5-lever-deadlock-79mm-case-56mm-backset-satin-chrome-362532"
