"id","name","category","category1","category2","img_url","description","page_url"
"871366","Yale 1 Star 6 Pin Kitemarked 70mm Euro Thumbturn Cylinder - 35mm [Turn] + 35mm - Nickel Plated","Locks, Safety & Security","Door Locks, Latches & Security","Cylinders","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/871366.jpg","<li>The Yale Kitemarked Euro Profile cylinder has been developed to provide resistance against common cylinder attack methods<li>Tested to the British Standard BS EN1303:2005 the cylinder is suitable as a replacement product on UPVC, wood and composite doors that require a high level of security and attack protection<li>The cylinder is Kitemark and Secured by Design approved<li>Anti-Bump, Anti-Pick, Anti-screw and Anti-Drill protection lock<li>6 pin Yale cylinder<li>TS007:2011 1 star to comply with the latest standards<li>Supplied with 3 keys<li>10 year guarantee","https://www.ironmongerydirect.co.uk/product/yale-1-star-6-pin-kitemarked-70mm-euro-thumbturn-cylinder-35mm-[turn]-plus-35mm-nickel-plated-871366"
"901568","Yale 1 Star 6 Pin Kitemarked 70mm Euro Thumbturn Cylinder - 35mm [Turn] + 35mm - Polished Brass","Locks, Safety & Security","Door Locks, Latches & Security","Cylinders","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/901568.jpg","<li>The Yale Kitemarked Euro Profile cylinder has been developed to provide resistance against common cylinder attack methods<li>Tested to the British Standard BS EN1303:2005 the cylinder is suitable as a replacement product on UPVC, wood and composite doors that require a high level of security and attack protection<li>The cylinder is Kitemark and Secured by Design approved<li>Anti-Bump, Anti-Pick, Anti-screw and Anti-Drill protection lock<li>6 pin Yale cylinder<li>TS007:2011 1 star to comply with the latest standards<li>Supplied with 3 keys<li>10 year guarantee","https://www.ironmongerydirect.co.uk/product/yale-1-star-6-pin-kitemarked-70mm-euro-thumbturn-cylinder-35mm-[turn]-plus-35mm-polished-brass-901568"
"805972","Yale Seal Letter Plate - 304 x 70mm - Door Thickness 20-40mm - White","Door Hardware & Closers","Front Door Furniture","Letter Plates & Templates","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/805972.jpg","<li>Affordable letter plate and interior tidy from the trusted Yale brand<li>Unique draught protection provided internally by twin nylon brush seals<li>Sprung - flaps snap shut after opening for extra security and fewer draughts<li>Manufactured from aluminium, making it strong and durable<li>Suitable for door thickness 20-40mm<li>Will take A4 post flat<li>Secure fixing from inside by two self-tapping screws<li>Size: 304 x 70mm<li>Aperture: 254mm x 38mm","https://www.ironmongerydirect.co.uk/product/yale-seal-letter-plate-304-x-70mm-door-thickness-20-40mm-white-805972"
"303294","Yale Seal Letter Plate - 304 x 70mm - Door Thickness 20-40mm - Black","Door Hardware & Closers","Front Door Furniture","Letter Plates & Templates","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/303294.jpg","<li>Affordable letter plate and interior tidy from the trusted Yale brand<li>Unique draught protection provided internally by twin nylon brush seals<li>Sprung - flaps snap shut after opening for extra security and fewer draughts<li>Manufactured from aluminium, making it strong and durable<li>Suitable for door thickness 20-40mm<li>Will take A4 post flat<li>Secure fixing from inside by two self-tapping screws<li>Size: 304 x 70mm<li>Aperture: 254mm x 38mm","https://www.ironmongerydirect.co.uk/product/yale-seal-letter-plate-304-x-70mm-door-thickness-20-40mm-black-303294"
"693666","Yale Seal Letter Plate - 304 x 70mm - Door Thickness 20-40mm - Gold","Door Hardware & Closers","Front Door Furniture","Letter Plates & Templates","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/693666.jpg","<li>Affordable letter plate and interior tidy from the trusted Yale brand<li>Unique draught protection provided internally by twin nylon brush seals<li>Sprung - flaps snap shut after opening for extra security and fewer draughts<li>Manufactured from aluminium, making it strong and durable<li>Suitable for door thickness 20-40mm<li>Will take A4 post flat<li>Secure fixing from inside by two self-tapping screws<li>Size: 304 x 70mm<li>Aperture: 254mm x 38mm","https://www.ironmongerydirect.co.uk/product/yale-seal-letter-plate-304-x-70mm-door-thickness-20-40mm-gold-693666"
"648894","Yale Seal Letter Plate - 304 x 70mm - Door Thickness 40-80mm - Black","Door Hardware & Closers","Front Door Furniture","Letter Plates & Templates","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/648894.jpg","<li>Affordable letter plate and interior tidy from the trusted Yale brand<li>Unique draught protection provided internally by twin nylon brush seals<li>Sprung - flaps snap shut after opening for extra security and fewer draughts<li>Manufactured from aluminium, making it strong and durable<li>Suitable for door thickness 40-80mm<li>Will take A4 post flat<li>Secure fixing from inside by two self-tapping screws<li>Size: 304 x 70mm<li>Aperture: 254mm x 38mm","https://www.ironmongerydirect.co.uk/product/yale-seal-letter-plate-304-x-70mm-door-thickness-40-80mm-black-648894"
"247648","Yale uPVC/Timber Offset Espagnolette Locking Multipoint Window Handle - Left Hand - Polished Chrome","Window Furniture & Hardware","Casement Hardware","UPVC Window Handles","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/247648.jpg","<li>Replacement window handle to fit uPVC windows<li>Fits all concealed espagnolette & shoot bolt locking systems<li>Push button operation with key deadlocking for additional security<li>7 x 40mm spindle can be cut down for different window profiles<li>Contains: key, fixing screws & cover cap","https://www.ironmongerydirect.co.uk/product/yale-upvctimber-offset-espagnolette-locking-multipoint-window-handle-left-hand-polished-chrome-247648"
"866445","Yale 8K118 Budget Wooden Window Lock - White - Pack of 4 with 1 Key","Window Furniture & Hardware","Window Locks & Security","Window Security","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/866445.jpg","<li>Economical and simple, this popular lock uses the key to lock and unlock<li>Pack contains 4 locks with 1 key","https://www.ironmongerydirect.co.uk/product/yale-8k118-budget-wooden-window-lock-white-pack-of-4-with-1-key-866445"
"300461","Yale uPVC/Timber Offset Espagnolette Locking Multipoint Window Handle - Left Hand - White","Window Furniture & Hardware","Casement Hardware","UPVC Window Handles","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/300461.jpg","<li>Replacement window handle to fit uPVC windows<li>Fits all concealed espagnolette & shoot bolt locking systems<li>Push button operation with key deadlocking for additional security<li>7 x 40mm spindle can be cut down for different window profiles<li>Contains: key, fixing screws & cover cap","https://www.ironmongerydirect.co.uk/product/yale-upvctimber-offset-espagnolette-locking-multipoint-window-handle-left-hand-white-300461"
"517220","Yale Seal Letter Plate - 304 x 70mm - Door Thickness 40-80mm - Satin Aluminium","Door Hardware & Closers","Front Door Furniture","Letter Plates & Templates","https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/517220.jpg","<li>Affordable letter plate and interior tidy from the trusted Yale brand<li>Unique draught protection provided internally by twin nylon brush seals<li>Sprung - flaps snap shut after opening for extra security and fewer draughts<li>Manufactured from aluminium, making it strong and durable<li>Suitable for door thickness 40-80mm<li>Will take A4 post flat<li>Secure fixing from inside by two self-tapping screws<li>Size: 304 x 70mm<li>Aperture: 254mm x 38mm","https://www.ironmongerydirect.co.uk/product/yale-seal-letter-plate-304-x-70mm-door-thickness-40-80mm-satin-aluminium-517220"
