id,name,category,category1,category2,img_url,description,page_url
871366,Yale 1 Star 6 Pin Kitemarked 70mm Euro Thumbturn Cylinder - 35mm [Turn] + 35mm - Nickel Plated,"Locks, Safety & Security","Door Locks, Latches & Security",Cylinders,https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/871366.jpg,"The Yale Kitemarked Euro Profile cylinder has been developed to provide resistance against common cylinder attack methodsTested to the British Standard BS EN1303:2005 the cylinder is suitable as a replacement product on UPVC, wood and composite doors that require a high level of security and attack protectionThe cylinder is Kitemark and Secured by Design approvedAnti-Bump, Anti-Pick, Anti-screw and Anti-Drill protection lock6 pin Yale cylinderTS007:2011 1 star to comply with the latest standardsSupplied with 3 keys10 year guarantee",https://www.ironmongerydirect.co.uk/product/yale-1-star-6-pin-kitemarked-70mm-euro-thumbturn-cylinder-35mm-[turn]-plus-35mm-nickel-plated-871366
901568,Yale 1 Star 6 Pin Kitemarked 70mm Euro Thumbturn Cylinder - 35mm [Turn] + 35mm - Polished Brass,"Locks, Safety & Security","Door Locks, Latches & Security",Cylinders,https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/901568.jpg,"The Yale Kitemarked Euro Profile cylinder has been developed to provide resistance against common cylinder attack methodsTested to the British Standard BS EN1303:2005 the cylinder is suitable as a replacement product on UPVC, wood and composite doors that require a high level of security and attack protectionThe cylinder is Kitemark and Secured by Design approvedAnti-Bump, Anti-Pick, Anti-screw and Anti-Drill protection lock6 pin Yale cylinderTS007:2011 1 star to comply with the latest standardsSupplied with 3 keys10 year guarantee",https://www.ironmongerydirect.co.uk/product/yale-1-star-6-pin-kitemarked-70mm-euro-thumbturn-cylinder-35mm-[turn]-plus-35mm-polished-brass-901568
805972,Yale Seal Letter Plate - 304 x 70mm - Door Thickness 20-40mm - White,Door Hardware & Closers,Front Door Furniture,Letter Plates & Templates,https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/805972.jpg,"Affordable letter plate and interior tidy from the trusted Yale brandUnique draught protection provided internally by twin nylon brush sealsSprung - flaps snap shut after opening for extra security and fewer draughtsManufactured from aluminium, making it strong and durableSuitable for door thickness 20-40mmWill take A4 post flatSecure fixing from inside by two self-tapping screwsSize: 304 x 70mmAperture: 254mm x 38mm",https://www.ironmongerydirect.co.uk/product/yale-seal-letter-plate-304-x-70mm-door-thickness-20-40mm-white-805972
303294,Yale Seal Letter Plate - 304 x 70mm - Door Thickness 20-40mm - Black,Door Hardware & Closers,Front Door Furniture,Letter Plates & Templates,https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/303294.jpg,"Affordable letter plate and interior tidy from the trusted Yale brandUnique draught protection provided internally by twin nylon brush sealsSprung - flaps snap shut after opening for extra security and fewer draughtsManufactured from aluminium, making it strong and durableSuitable for door thickness 20-40mmWill take A4 post flatSecure fixing from inside by two self-tapping screwsSize: 304 x 70mmAperture: 254mm x 38mm",https://www.ironmongerydirect.co.uk/product/yale-seal-letter-plate-304-x-70mm-door-thickness-20-40mm-black-303294
693666,Yale Seal Letter Plate - 304 x 70mm - Door Thickness 20-40mm - Gold,Door Hardware & Closers,Front Door Furniture,Letter Plates & Templates,https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/693666.jpg,"Affordable letter plate and interior tidy from the trusted Yale brandUnique draught protection provided internally by twin nylon brush sealsSprung - flaps snap shut after opening for extra security and fewer draughtsManufactured from aluminium, making it strong and durableSuitable for door thickness 20-40mmWill take A4 post flatSecure fixing from inside by two self-tapping screwsSize: 304 x 70mmAperture: 254mm x 38mm",https://www.ironmongerydirect.co.uk/product/yale-seal-letter-plate-304-x-70mm-door-thickness-20-40mm-gold-693666
648894,Yale Seal Letter Plate - 304 x 70mm - Door Thickness 40-80mm - Black,Door Hardware & Closers,Front Door Furniture,Letter Plates & Templates,https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/648894.jpg,"Affordable letter plate and interior tidy from the trusted Yale brandUnique draught protection provided internally by twin nylon brush sealsSprung - flaps snap shut after opening for extra security and fewer draughtsManufactured from aluminium, making it strong and durableSuitable for door thickness 40-80mmWill take A4 post flatSecure fixing from inside by two self-tapping screwsSize: 304 x 70mmAperture: 254mm x 38mm",https://www.ironmongerydirect.co.uk/product/yale-seal-letter-plate-304-x-70mm-door-thickness-40-80mm-black-648894
247648,Yale uPVC/Timber Offset Espagnolette Locking Multipoint Window Handle - Left Hand - Polished Chrome,Window Furniture & Hardware,Casement Hardware,UPVC Window Handles,https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/247648.jpg,"Replacement window handle to fit uPVC windowsFits all concealed espagnolette & shoot bolt locking systemsPush button operation with key deadlocking for additional security7 x 40mm spindle can be cut down for different window profilesContains: key, fixing screws & cover cap",https://www.ironmongerydirect.co.uk/product/yale-upvctimber-offset-espagnolette-locking-multipoint-window-handle-left-hand-polished-chrome-247648
866445,Yale 8K118 Budget Wooden Window Lock - White - Pack of 4 with 1 Key,Window Furniture & Hardware,Window Locks & Security,Window Security,https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/866445.jpg,"Economical and simple, this popular lock uses the key to lock and unlockPack contains 4 locks with 1 key",https://www.ironmongerydirect.co.uk/product/yale-8k118-budget-wooden-window-lock-white-pack-of-4-with-1-key-866445
300461,Yale uPVC/Timber Offset Espagnolette Locking Multipoint Window Handle - Left Hand - White,Window Furniture & Hardware,Casement Hardware,UPVC Window Handles,https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/300461.jpg,"Replacement window handle to fit uPVC windowsFits all concealed espagnolette & shoot bolt locking systemsPush button operation with key deadlocking for additional security7 x 40mm spindle can be cut down for different window profilesContains: key, fixing screws & cover cap",https://www.ironmongerydirect.co.uk/product/yale-upvctimber-offset-espagnolette-locking-multipoint-window-handle-left-hand-white-300461
517220,Yale Seal Letter Plate - 304 x 70mm - Door Thickness 40-80mm - Satin Aluminium,Door Hardware & Closers,Front Door Furniture,Letter Plates & Templates,https://res.cloudinary.com/manutantraders/image/upload/t_400-scale/v223/ironmongery/products/517220.jpg,"Affordable letter plate and interior tidy from the trusted Yale brandUnique draught protection provided internally by twin nylon brush sealsSprung - flaps snap shut after opening for extra security and fewer draughtsManufactured from aluminium, making it strong and durableSuitable for door thickness 40-80mmWill take A4 post flatSecure fixing from inside by two self-tapping screwsSize: 304 x 70mmAperture: 254mm x 38mm",https://www.ironmongerydirect.co.uk/product/yale-seal-letter-plate-304-x-70mm-door-thickness-40-80mm-satin-aluminium-517220
