"store_name","address","postalcode","phone","fax","mail","map_url","page_url"
"Airdrie Main Street","2649 Main Street S #200 ","T4B 2V7","403-912-4046","403-912-3908","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@51.2696035,-114.0121742,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xbb9655af8ba36113!8m2!3d51.2696035!4d-114.0099855?hl=en","https://jiffylubeservice.ca/locations/airdrie/jiffy-airdrie-main-street/"
"Airdrie Market Street","1500 Market Street SE ","T4A 0K9","403-945-7043","","info@jiffylubeservice.ca","https://www.google.ca/maps/place/Jiffy+Lube/@51.2699534,-114.0119649,15z/data=!4m8!1m2!2m1!1sjiffy+lube+market+st+airdrie!3m4!1s0x53715f9a6d038411:0x12c74071a328eef0!8m2!3d51.2703035!4d-113.9964343","https://jiffylubeservice.ca/locations/airdrie/jiffy-airdrie-market-street/"
"Beaumont","6308 50 Street ","T4X 0B6","780-929-1610","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.364006,-113.4201568,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xb4655128b1cead10!8m2!3d53.364006!4d-113.4179681?hl=en","https://jiffylubeservice.ca/locations/beaumont/jiffy-beaumont/"
"Bonnyville","5301 50 Avenue ","T9N 1Y3","780-687-3040","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@54.268326,-110.7516217,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x59e9ad55b4a26386!8m2!3d54.268326!4d-110.749433?hl=en","https://jiffylubeservice.ca/locations/bonnyville/jiffy-bonnyville/"
"Calgary 16th Avenue","1230 16 Avenue NW ","T2M 0K9","403-282-6661","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@51.0672167,-114.0912419,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x102696e2eb3b2f3!8m2!3d51.0672167!4d-114.0890532?hl=en","https://jiffylubeservice.ca/locations/calgary/jiffy-calgary-16th-avenue/"
"Calgary 17 Ave SE"," Bay 1, 5725-17 Avenue SE ","T2A 0W3","587-617-5211","","info@jiffylubeservice.ca","https://www.google.com/maps/place/5725+17+Ave+SE,+Calgary,+AB+T2A+0W3/@51.0414434,-113.9719375,14.02z/data=!4m13!1m7!3m6!1s0x53717b105488de25:0xfefc622069bf38fc!2s5725+17+Ave+SE,+Calgary,+AB+T2A+0W3!3b1!8m2!3d51.03747!4d-113.9524489!3m4!1s0x53717b105488de25:0xfefc622069bf38fc!8m2!3d51.03747!4d-113.9524489","https://jiffylubeservice.ca/locations/calgary/calgary-17-ave-se/"
"Calgary Aviation Road","475 Aviation Road NE #104 ","T2E 7H8","587-535-8813","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@51.0973036,-114.0330157,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xe323f6ba28500c40!8m2!3d51.0973036!4d-114.030827?hl=en","https://jiffylubeservice.ca/locations/calgary/jiffy-calgary-aviation-road/"
"Calgary Country Hills","11135 14 Street NE #150 ","T3K 0Z7","587-230-0146","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@51.1528924,-114.0322359,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x377cf782a2a1c844!8m2!3d51.1528924!4d-114.0300472?hl=en","https://jiffylubeservice.ca/locations/calgary/jiffy-calgary-country-hills/"
"Calgary Foothills","3619 61 Avenue SE ","T2C 4T8","403-278-6464","403-203-3446","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@50.9988386,-113.9838098,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x2d6434ad548a43c3!8m2!3d50.9988386!4d-113.9816211?hl=en","https://jiffylubeservice.ca/locations/calgary/jiffy-calgary-foothills/"
"Calgary Macleod","4833 Macleod Trail SW ","T2G 0A7","403-283-7888","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@51.0098071,-114.0698608,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x368566870ca9bf44!8m2!3d51.0098071!4d-114.0676721?hl=en","https://jiffylubeservice.ca/locations/calgary/jiffy-calgary-macleod/"
"Calgary Marlborough","220 52 Street NE ","T2A 4K8","403-248-3116","403-248-3123","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@51.0544017,-113.9578064,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xdaaf0baac9ddeb17!8m2!3d51.0544017!4d-113.9556177?hl=en","https://jiffylubeservice.ca/locations/calgary/jiffy-calgary-marlborough/"
