"name","city","state","zipcode","address","phone_no","website","page_url"
"Action Htg AC & Refrig Inc","SEMMES","Alabama","36575-7478","7740 TARA DR
SEMMES, Alabama 36575-7478","251-645-0089","","https://www.lennox.com/locate/dealer/al/semmes/action-htg-ac-and-refrig-inc"
"Air Now Heating & Cooling Inc","MILLBROOK","Alabama","36054-3216","3481 MAIN ST
MILLBROOK, Alabama 36054-3216","334-285-7065","https://www.airnowhvac.com/","https://www.lennox.com/locate/dealer/al/millbrook/air-now-htg-and-cooling-inc"
"Aireserv Over the Mountain","BIRMINGHAM","Alabama","35210-3916","2812 RUFFNER RD
BIRMINGHAM, Alabama 35210-3916","205-591-5555","","https://www.lennox.com/locate/dealer/al/birmingham/aire-serv-over-the-mountain"
"All Weather Htg & Air Cond Inc","HUNTSVILLE","Alabama","35811-8924","104 DOMINION CIR
HUNTSVILLE, Alabama 35811-8924","256-852-8825","","https://www.lennox.com/locate/dealer/al/huntsville/all-weather-htg-and-ac-inc"
"Indoor Comfort Systems Inc","HUNTSVILLE","Alabama","35801-5917","1201 CHURCH ST NW
HUNTSVILLE, Alabama 35801-5917","256-885-0430","","https://www.lennox.com/locate/dealer/al/huntsville/annette-hales-indoor-comfort-sys"
"Bain Htg & A/C Inc","Heflin","Alabama","36264-8915","1084 Co Rd 204
Heflin, Alabama 36264-8915","256-363-2232","","https://www.lennox.com/locate/dealer/al/heflin/bain-htg-and-ac-inc"
"Bay Aire Inc","Fairhope","Alabama","36532","9882 Co Rd 32
Fairhope, Alabama 36532","251-928-3096","http://www.bayaire.com","https://www.lennox.com/locate/dealer/al/fairhope/bay-aire-inc"
"Blake Brothers Svc Corp","Huntsville","Alabama","35810-4553","2007 Memorial Pkwy NW
Huntsville, Alabama 35810-4553","","","https://www.lennox.com/locate/dealer/al/huntsville/blake-brothers-svc-corp"
"Bob Woodall Air Care Systems","Dothan","Alabama","36303","412 N Foster St
Dothan, Alabama 36303","334-794-2691","http://www.callbob.com/","https://www.lennox.com/locate/dealer/al/dothan/bob-woodall-air-care-systems"
"Boeschen's Heating & Cooling LLC","Bay Minette","Alabama","36507-2611","1502 US-31
Bay Minette, Alabama 36507-2611","251-937-0063","","https://www.lennox.com/locate/dealer/al/bay-minette/boeschens-htg-and-cooling-llc"
